"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL254849";"";"0";"378.45";"0";"3.31";"6s";"COc1ccc(CS(=O)(=O)/C=C/c2c(OC)cc(OC)cc2OC)cc1";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL926536";"Antitumor activity against human MiaPaCa2 cells by trypan blue exclusion assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1140709";"1";"Scientific Literature";"J. Med. Chem.";"2008";"CHEMBL3308500";""
"CHEMBL100014";"AN-9";"2";"202.25";"0";"1.88";"AN9";"CCCC(=O)OCOC(=O)C(C)(C)C";"IC50";"'='";"30000.0";"nM";"4.52";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL762843";"Concentration required to inhibit the colony formation of pancreatic human (PACA) cell lines by 50%";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1133463";"1";"Scientific Literature";"J. Med. Chem.";"2000";"CHEMBL3308500";""
"CHEMBL240593";"";"0";"298.78";"0";"3.02";"12";"Cl.N=C(N)c1ccc2nc(/C=C\c3ccccc3)[nH]c2c1";"IC50";"'>'";"100000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL899979";"Antitumor activity against human MiaPaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1138229";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308500";""
"CHEMBL1275614";"";"0";"371.43";"0";"3.79";"1";"CC1=C(CC(=O)NO)c2cc(F)ccc2/C1=C/c1ccc([S+](C)[O-])cc1";"IC50";"'='";"64100.0";"nM";"4.19";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1285855";"Cytotoxicity against human MIAPaCa2 cells after 72 hrs by WST-1 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1275284";"1";"Scientific Literature";"Eur. J. Med. Chem.";"2010";"CHEMBL3308500";""
"CHEMBL239113";"";"0";"359.26";"0";"3.74";"15";"Cl.Clc1ccccc1/C=C\c1nc2ccc(C3=NCCN3)cc2[nH]1";"IC50";"'='";"62000.0";"nM";"4.21";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL899979";"Antitumor activity against human MiaPaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1138229";"1";"Scientific Literature";"J. Med. Chem.";"2007";"CHEMBL3308500";""
"CHEMBL102714";"SB-216763";"0";"371.22";"0";"4.05";"SB 216763";"Cn1cc(C2=C(c3ccc(Cl)cc3Cl)C(=O)NC2=O)c2ccccc21";"IC50";"'='";"70223.57";"nM";"4.15";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2363427";"SANGER: Inhibition of human MIA-PaCa-2 cell growth in a cell viability assay.";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1201861";"5";"Sanger Institute Genomics of Drug Sensitivity in Cancer";"";"";"CHEMBL3308500";""
"CHEMBL1023";"BEXAROTENE";"4";"348.49";"1";"6.10";"Bexarotene";"C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C";"IC50";"'='";"10512.79";"nM";"4.98";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2363427";"SANGER: Inhibition of human MIA-PaCa-2 cell growth in a cell viability assay.";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1201861";"5";"Sanger Institute Genomics of Drug Sensitivity in Cancer";"";"";"CHEMBL3308500";""
"CHEMBL499967";"";"0";"266.33";"0";"3.62";"14";"Cc1ccc(Nc2nc3ccc(C#N)cc3s2)nc1";"IC50";"'='";"5000.0";"nM";"5.30";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1012597";"Antiproliferative activity against human MIAPaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1152814";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL3308500";""
"CHEMBL101299";"";"0";"381.36";"0";"2.57";"A-62176";"N[C@H]1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c5ccccc5oc2c34)C1";"IC50";"'='";"420.0";"nM";"6.38";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL714145";"Inhibitory concentration against MIA PaCa pancreas cancer cell line";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL1145830";"1";"Scientific Literature";"J. Med. Chem.";"2003";"CHEMBL3308500";""
"CHEMBL4207316";"";"0";"390.40";"0";"4.08";"3f";"CCc1c(C(=O)NC(CO)Cc2ccccc2)[nH]c2ccc(C(F)(F)F)cc12";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4196282";"Antiproliferative activity human MIAPaCa2 cells after 48 hrs by propidium iodide staining-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4196002";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3308500";""
"CHEMBL4216082";"";"0";"336.82";"0";"4.59";"5a";"CCc1c2cc(Cl)ccc2n2cc(Cc3ccccc3)[nH]c(=O)c12";"IC50";"'='";"8300.0";"nM";"5.08";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4196282";"Antiproliferative activity human MIAPaCa2 cells after 48 hrs by propidium iodide staining-based fluorescence assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4196002";"1";"Scientific Literature";"Eur J Med Chem";"2018";"CHEMBL3308500";""
"CHEMBL4567250";"";"0";"580.15";"1";"4.95";"P61-A6; P61-B7";"Cc1ccccc1S(=O)(=O)N1[C@@H](c2ccc(Cl)cc2)C(C(=O)N[C@@H](Cc2ccccc2)C(N)=O)=C[C@H]1C(C)(C)C";"IC50";"'='";"4700.0";"nM";"5.33";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4421925";"Antiproliferative activity against human MIAPaCa2 cells assessed as inhibition of cell proliferation incubated for 72 hrs by CCK8 assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4421722";"38";"Patent Bioactivity Data";"";"";"CHEMBL3308500";""
"CHEMBL4177211";"";"0";"534.69";"2";"6.84";"20";"CC(=O)Oc1cc2c(c(C)c1OC(C)=O)C(=O)C=C1[C@@]3(C)CC[C@@]4(C)CC[C@@](C)(C=O)C[C@H]4[C@]3(C)CC[C@]12C";"IC50";"'='";"380.0";"nM";"6.42";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL4133423";"Antiproliferative activity against human MIAPaCa2 cells after 72 hrs by MTT assay";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"MIA PaCa-2 ";"None";"";"";"";"CHEMBL614725";"MIA PaCa-2";"Homo sapiens";"CELL-LINE";"CHEMBL4130422";"1";"Scientific Literature";"Eur J Med Chem";"2017";"CHEMBL3308500";""
