"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL3656694";"";"0";"401.47";"0";"3.23";"BDBM122760";"COCCn1ccc(Nc2ncc3c(n2)-c2c(nn(C)c2-c2ccccc2)CC3)n1";"IC50";"'='";"6.0";"nM";"8.22";"";"251552";"UO_0000065";"20.48";"0.37";"4.99";"9.94";"False";"CHEMBL3705323";"DELFIA assay: The kinase activity is measured by DELFIA assay (dissociation-enhanced lanthanide fluorescence immunoassay, Perkin Elmer). The cytoplasmic kinase domain of human IGF-1R (amino acids 964-1370) is expressed as a fusion protein with a glutathione-S-transferase tag (IGF-1R-GST) in High Five Cells (Invitrogen). Enzyme activity is measured in the presence of substances and a control substance. Poly-glutamate-tyrosine peptide (pEY, Sigma Aldrich) and biotinylated pEY (bio-pEY) are used as reaction substrates. 10 uL of substance in 25% DMSO are mixed with 30 uL of IGF-1R-GST solution (67 mM HEPES pH 7.4, 15 ug/mL pEY, 1.7 ug/mL bio-pEY, 13.3 mM MgCl2, 3.3 mM dithiothreitol, 0.0033% Brij 35, 2 ng IGF-1R-GST) in 96-well plates. The reactions are started with 10 uL of a 750 uM ATP solution. After 40 min at RT the reactions are stopped with 50 uL of stop solution (250 mM EDTA, 20 mM HEPES pH 7.4).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639315";"37";"BindingDB Database";"";"2014";"None";""
"CHEMBL3952557";"";"0";"361.45";"0";"3.52";"table2, ent 545";"Cc1cc(Nc2cc(C3CC3)n[nH]2)nc(Nc2ccc3c(c2)CNCC3)n1";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"20.20";"0.37";"3.78";"8.06";"False";"CHEMBL3882756";"Inhibition of human IGF1R kinase domain (M954 to C1367 residues) tri-phosphorylated enzyme form expressed in baculovirus based expression system using poly-EY peptide incubated for 2 hrs by luciferase-luciferin coupled chemiluminescent assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3882726";"38";"Patent Bioactivity Data";"";"2008";"None";""
"CHEMBL3913015";"";"0";"349.44";"0";"3.37";"table2, ent 550";"Cc1cc(Nc2cc(C3CC3)n[nH]2)nc(Nc2ccc(CCN)cc2)n1";"IC50";"'='";"50.0";"nM";"7.30";"";"";"UO_0000065";"20.89";"0.38";"3.93";"6.98";"False";"CHEMBL3882756";"Inhibition of human IGF1R kinase domain (M954 to C1367 residues) tri-phosphorylated enzyme form expressed in baculovirus based expression system using poly-EY peptide incubated for 2 hrs by luciferase-luciferin coupled chemiluminescent assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3882726";"38";"Patent Bioactivity Data";"";"2008";"None";""
"CHEMBL517729";"";"0";"490.50";"0";"2.54";"21";"COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN)CC2";"IC50";"'='";"4.0";"nM";"8.40";"";"";"UO_0000065";"17.12";"0.32";"5.86";"5.11";"False";"CHEMBL1033172";"Inhibition of IGF-1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154536";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL1089082";"";"0";"459.43";"1";"5.73";"9";"O=C(Nc1cccc(-c2ccnc3cc(-c4ccncc4)nn23)c1)c1cccc(C(F)(F)F)c1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1110876";"Inhibition of IGFR1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156255";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL2024002";"";"0";"491.59";"0";"4.09";"14";"COc1cc(Nc2nccc(N3CCC[C@@H](C(=O)NCc4ccc(C)cc4)C3)n2)cc(OC)c1OC";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL2025773";"Inhibition of human N-terminal GST-fused IGF1R cytoplasmic domain (960 to 1367) expressed in Hi5 cells using Biotin- Ahx- EEEEAYGWLDF-OH as substrate after 90 mins by TR-FRET assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"BTI-TN-5B1-4";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2021774";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3833782";""
"CHEMBL541762";"";"0";"638.70";"1";"3.71";"36";"CN1CCN(c2ccc(C(=O)Nc3n[nH]c4c3CN(S(=O)(=O)c3cc(F)cc(F)c3)C4(C)C)cc2NC(=O)c2cc[nH]c2)CC1";"IC50";"'='";"90.0";"nM";"7.05";"";"";"UO_0000065";"11.03";"0.21";"3.34";"4.81";"False";"CHEMBL1056477";"Inhibition of GST-tagged human IGF1R expressed in baculovirus-infected Sf21 cells by scintillation proximity assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"Sf21";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152979";"1";"Scientific Literature";"J. Med. Chem.";"2009";"CHEMBL4106362";""
"CHEMBL551263";"";"0";"489.63";"0";"4.69";"31, PQIP";"CN1CCN(C2CC(c3c(-c4ncn5ccnc(N)c45)ccc4ccc(-c5ccccc5)nc34)C2)CC1";"IC50";"'='";"19.0";"nM";"7.72";"";"";"UO_0000065";"15.77";"0.29";"3.03";"10.22";"False";"CHEMBL1058958";"Inhibition of IGF1R by cell based assay";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152979";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL551264";"";"0";"381.38";"0";"3.44";"42";"Oc1ccc(CN(Cc2ccc(O)c(O)c2)c2ccc3c(c2)OCO3)cc1O";"IC50";"'='";"170.0";"nM";"6.77";"";"";"UO_0000065";"17.75";"0.33";"3.33";"6.60";"False";"CHEMBL1058969";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152979";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL551523";"";"0";"479.97";"0";"3.86";"21";"Cc1cc(N2CCOCC2)cc2nc(-c3c(NC[C@H](O)c4ccccc4Cl)cc[nH]c3=O)[nH]c12";"IC50";"'='";"830.0";"nM";"6.08";"";"";"UO_0000065";"12.67";"0.24";"2.22";"5.72";"False";"CHEMBL1058969";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1152979";"1";"Scientific Literature";"J. Med. Chem.";"2009";"None";""
"CHEMBL248170";"";"0";"306.33";"0";"1.56";"9";"NCc1cc(-n2ccnc2)cc2[nH]c(-c3ccc[nH]c3=O)nc12";"IC50";"'>'";"25000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL886694";"Inhibition of human recombinant IGF1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139163";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL391157";"";"0";"519.40";"1";"4.19";"44";"Cc1cc(-n2ccnc2)cc2[nH]c(-c3c(N[C@H](CO)Cc4cccc(Br)c4)cc[nH]c3=O)nc12";"IC50";"'='";"590.0";"nM";"6.23";"";"";"UO_0000065";"11.99";"0.25";"2.04";"5.58";"False";"CHEMBL886694";"Inhibition of human recombinant IGF1 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139163";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2007";"None";""
"CHEMBL1760057";"";"0";"454.58";"1";"5.77";"26";"c1ccc2ncc(Nc3ccnc(Nc4ccc(OCCCN5CCCCC5)cc4)n3)cc2c1";"IC50";"'='";"81.0";"nM";"7.09";"";"";"UO_0000065";"15.60";"0.28";"1.32";"9.43";"False";"CHEMBL1764523";"Inhibition of IGF1-induced human IGF1R auto phosphorylation expressed in mouse NIH-3T3 cells preincubated with compound for 1 hr";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"NIH3T3";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1759866";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2011";"CHEMBL3307716";""
"CHEMBL3977232";"";"0";"535.61";"2";"5.37";"BDBM184498";"CCCn1cc(-c2ccc(-c3c4c(nn3C)CCc3cnc(Nc5ccc(C(=O)O)cc5OC)nc3-4)cc2)cn1";"IC50";"'='";"3.0";"nM";"8.52";"";"332743";"UO_0000065";"15.91";"0.29";"3.15";"7.10";"False";"CHEMBL3887328";"DELFIA Assay: The kinase activity is measured by DELFIA assay (dissociation-enhanced lanthanide fluorescence immunoassay, Perkin Elmer). The cytoplasmic kinase domain of human IGF-1R (amino acids 964-1370) is expressed as a fusion protein with a glutathione-S-transferase tag (IGF-1R-GST) in High Five.TM. Cells (Invitrogen). Enzyme activity is measured in the presence of substances and a control substance. Poly-glutamate-tyrosine peptide (pEY, Sigma Aldrich) and biotinylated pEY (bio-pEY) are used as reaction substrates.10 uL of substance in 25% DMSO are mixed with 30 uL of IGF-1R-GST solution (67 mM HEPES pH 7.4, 15 ug/mL pEY, 1.7 ug/mL bio-pEY, 13.3 mM MgCl2, 3.3 mM dithiothreitol, 0.0033% Brij 35, 2 ng IGF-1R-GST) in 96-well plates. The reactions are started with 10 uL of a 750 uM ATP solution. After 40 min at RT the reactions are stopped with 50 .mu.L of stop solution (250 mM EDTA, 20 mM HEPES pH 7.4). 90 uL from each reaction are transferred.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886278";"37";"BindingDB Database";"";"2015";"None";""
"CHEMBL458864";"";"0";"515.58";"1";"2.79";"36";"COc1cc2c(cc1Nc1nc(Nc3cccnc3C(N)=O)c3cc[nH]c3n1)N(C(=O)CN(C)C)CCC2";"IC50";"'='";"0.5";"nM";"9.30";"";"";"UO_0000065";"18.04";"0.33";"6.51";"6.02";"False";"CHEMBL1025722";"Inhibition of IGF1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154545";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL1964271";"";"0";"483.62";"0";"4.93";"12";"COc1cc(N2CCN(C(C)C)CC2)ccc1Nc1nc(N2CCc3ccccc32)c2cc[nH]c2n1";"IC50";"'='";"1770.0";"nM";"5.75";"";"";"UO_0000065";"11.89";"0.22";"0.82";"7.93";"False";"CHEMBL1025723";"Inhibition of IGF1R phosphorylation by cellular assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154545";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL3656671";"";"0";"458.57";"0";"3.08";"BDBM122736";"COc1cccc(Cc2c3c(nn2C)CCc2cnc(Nc4cnn(CCN(C)C)c4)nc2-3)c1";"IC50";"'='";"3.0";"nM";"8.52";"";"251528";"UO_0000065";"18.59";"0.34";"5.44";"9.92";"False";"CHEMBL3705323";"DELFIA assay: The kinase activity is measured by DELFIA assay (dissociation-enhanced lanthanide fluorescence immunoassay, Perkin Elmer). The cytoplasmic kinase domain of human IGF-1R (amino acids 964-1370) is expressed as a fusion protein with a glutathione-S-transferase tag (IGF-1R-GST) in High Five Cells (Invitrogen). Enzyme activity is measured in the presence of substances and a control substance. Poly-glutamate-tyrosine peptide (pEY, Sigma Aldrich) and biotinylated pEY (bio-pEY) are used as reaction substrates. 10 uL of substance in 25% DMSO are mixed with 30 uL of IGF-1R-GST solution (67 mM HEPES pH 7.4, 15 ug/mL pEY, 1.7 ug/mL bio-pEY, 13.3 mM MgCl2, 3.3 mM dithiothreitol, 0.0033% Brij 35, 2 ng IGF-1R-GST) in 96-well plates. The reactions are started with 10 uL of a 750 uM ATP solution. After 40 min at RT the reactions are stopped with 50 uL of stop solution (250 mM EDTA, 20 mM HEPES pH 7.4).";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3639315";"37";"BindingDB Database";"";"2014";"None";""
"CHEMBL459538";"";"0";"489.51";"0";"3.99";"36";"COc1cc2c(cc1Nc1nc(Nc3cccc(F)c3C(N)=O)c3cc[nH]c3n1)N(C(C)=O)CCC2";"IC50";"'='";"25.0";"nM";"7.60";"";"";"UO_0000065";"15.53";"0.29";"3.61";"5.50";"False";"CHEMBL1033172";"Inhibition of IGF-1R";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154536";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"None";""
"CHEMBL3655753";"";"0";"466.53";"1";"2.16";"BDBM107020";"CO[C@H]1C[C@@H](C(=O)Nc2ncns2)N(c2nc(Nc3cc(C4CC4)n[nH]3)c3cccn3n2)C1";"IC50";"'='";"2.0";"nM";"8.70";"";"226226";"UO_0000065";"18.65";"0.36";"6.54";"6.29";"False";"CHEMBL3705546";"Tyrosine Kinase Assay: Kinase assay using IGF1-receptor.";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3638492";"37";"BindingDB Database";"";"2013";"None";""
"CHEMBL3977170";"";"0";"605.75";"1";"4.40";"BDBM184520";"COc1cc(C(=O)NCCCN(C)C)ccc1Nc1ncc2c(n1)-c1c(nn(C)c1Cc1cccc(-c3cnn(C)c3)c1)CC2";"IC50";"'='";"0.08";"nM";"10.10";"";"332764";"UO_0000065";"16.67";"0.31";"5.70";"8.78";"False";"CHEMBL3887328";"DELFIA Assay: The kinase activity is measured by DELFIA assay (dissociation-enhanced lanthanide fluorescence immunoassay, Perkin Elmer). The cytoplasmic kinase domain of human IGF-1R (amino acids 964-1370) is expressed as a fusion protein with a glutathione-S-transferase tag (IGF-1R-GST) in High Five.TM. Cells (Invitrogen). Enzyme activity is measured in the presence of substances and a control substance. Poly-glutamate-tyrosine peptide (pEY, Sigma Aldrich) and biotinylated pEY (bio-pEY) are used as reaction substrates.10 uL of substance in 25% DMSO are mixed with 30 uL of IGF-1R-GST solution (67 mM HEPES pH 7.4, 15 ug/mL pEY, 1.7 ug/mL bio-pEY, 13.3 mM MgCl2, 3.3 mM dithiothreitol, 0.0033% Brij 35, 2 ng IGF-1R-GST) in 96-well plates. The reactions are started with 10 uL of a 750 uM ATP solution. After 40 min at RT the reactions are stopped with 50 .mu.L of stop solution (250 mM EDTA, 20 mM HEPES pH 7.4). 90 uL from each reaction are transferred.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1957";"Insulin-like growth factor I receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3886278";"37";"BindingDB Database";"";"2015";"None";""
